iter	Passed	Remaining
0	5	585
1	7	355
2	8	278
3	9	232
4	10	208
5	12	191
6	13	179
7	14	169
8	16	162
9	17	156
10	18	153
11	20	148
12	21	147
13	24	152
14	26	148
15	27	143
16	28	139
17	29	136
18	31	132
19	32	129
20	33	126
21	34	123
22	37	125
23	38	123
24	40	121
25	41	119
26	43	116
27	45	116
28	46	114
29	48	113
30	50	112
31	52	111
32	54	109
33	55	108
34	57	106
35	59	105
36	60	103
37	62	101
38	64	100
39	65	98
40	66	96
41	67	92
42	68	90
43	69	89
44	71	86
45	72	84
46	73	83
47	74	81
48	76	79
49	77	77
50	79	76
51	81	75
52	83	73
53	84	71
54	85	69
55	86	68
56	88	66
57	89	64
58	91	63
59	93	62
60	95	60
61	96	59
62	97	57
63	99	55
64	100	54
65	101	52
66	102	50
67	104	49
68	106	47
69	108	46
70	109	44
71	110	43
72	112	41
73	113	39
74	114	38
75	116	36
76	117	35
77	119	33
78	120	32
79	122	30
80	124	29
81	126	27
82	127	26
83	129	24
84	130	23
85	131	21
86	133	19
87	134	18
88	136	16
89	137	15
90	138	13
91	140	12
92	141	10
93	142	9
94	144	7
95	145	6
96	146	4
97	148	3
98	149	1
99	151	0
